0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,-20,346,51,2,120,0,55,140,,,
0,PlatformRepeat,552,306,51,0,120,0,55,160,,,
0.5,SET,Loop,30,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,29,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,31,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,33,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,35,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.49999,0.03333
0.43333,JMPNZ,8,$Loop,,,,,,
1,EndAttack,,,,,,,,
